periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-02,2009-02-01,2009,2,FINCA,38.91,28.63,10.21,11.9,23.11,3.99,3.99,4.411585405427904,-0.421585405427904,0.421585405427904
2009-02,2009-02-01,2009,2,GENERAL RUMIÑAHUI,349.22,326.98,21.5,3.97,5.14,20.84,20.84,18.925867255799748,1.914132744200252,1.914132744200252
2009-02,2009-02-01,2009,2,GUAYAQUIL,2287.94,2123.11,159.44,2.19,6.06,19.07,19.07,19.447437454304968,-0.37743745430496745,0.37743745430496745
2009-02,2009-02-01,2009,2,INTERNACIONAL,1222.37,1104.14,116.13,2.63,8.12,10.86,10.86,11.367219427979434,-0.5072194279794342,0.5072194279794342
2009-02,2009-02-01,2009,2,LITORAL,19.77,16.17,3.54,4.64,13.4,10.38,10.38,9.270015917508417,1.109984082491584,1.109984082491584
2009-02,2009-02-01,2009,2,LLOYDS BANK,203.67,178.84,24.31,0.67,11.34,12.64,12.64,11.384033526936031,1.2559664730639692,1.2559664730639692
2009-02,2009-02-01,2009,2,LOJA,194.93,175.36,18.91,2.57,8.24,21.12,21.12,22.862033433140944,-1.7420334331409428,1.7420334331409428
2009-02,2009-02-01,2009,2,MACHALA,339.82,307.57,32.04,4.07,7.91,3.9,3.9,8.729815976430968,-4.829815976430968,4.829815976430968
2009-02,2009-02-01,2009,2,PACIFICO,1710.79,1435.68,269.03,3.28,14.08,13.53,13.53,13.269209897417408,0.2607901025825914,0.2607901025825914
2009-02,2009-02-01,2009,2,PICHINCHA,4326.13,3856.64,460.24,3.26,9.16,12.05,12.05,11.673606844914346,0.37639315508565474,0.37639315508565474
2009-02,2009-02-01,2009,2,PROCREDIT,286.4,249.78,36.12,2.83,11.46,8.31,8.31,10.469179438894438,-2.159179438894437,2.159179438894437
2009-02,2009-02-01,2009,2,PRODUBANCO,1537.33,1382.05,153.77,1.4,9.15,5.89,5.89,8.378753324175817,-2.488753324175817,2.488753324175817
2009-02,2009-02-01,2009,2,SOLIDARIO,298.52,261.32,36.98,9.2,9.82,3.58,3.58,2.8941402032227046,0.6858597967772955,0.6858597967772955
2009-02,2009-02-01,2009,2,SUDAMERICANO,8.33,2.25,6.07,16.49,50.52,1.21,1.21,9.252417596200099,-8.0424175962001,8.0424175962001
2009-02,2009-02-01,2009,2,TERRITORIAL,109.81,100.8,8.19,5.89,5.78,60.24,60.24,43.64605404567651,16.593945954323495,16.593945954323495
2009-02,2009-02-01,2009,2,UNIBANCO,254.85,205.86,48.14,9.34,16.18,10.56,10.56,10.349782996910495,0.21021700308950564,0.21021700308950564
2009-03,2009-03-01,2009,3,AMAZONAS,114.34,102.76,11.38,4.15,8.44,7.06,7.06,7.065309790764789,-0.005309790764789213,0.005309790764789213
2009-03,2009-03-01,2009,3,AUSTRO,614.82,554.98,56.66,7.17,8.04,22.41,22.41,22.05329280904282,0.35670719095718084,0.35670719095718084
2009-03,2009-03-01,2009,3,BOLIVARIANO,1236.13,1124.92,107.46,1.42,7.7,13.61,13.61,13.542600458152952,0.06739954184704722,0.06739954184704722
2009-03,2009-03-01,2009,3,CAPITAL,60.69,48.68,11.72,10.97,16.98,9.98,9.98,12.486239552207058,-2.5062395522070577,2.5062395522070577
2009-03,2009-03-01,2009,3,CITIBANK,321.5,290.88,28.96,4.57,8.3,23.04,23.04,20.31003900016649,2.7299609998335086,2.7299609998335086
2009-03,2009-03-01,2009,3,COFIEC,11.77,3.45,8.42,24.71,55.56,-5.03,-5.03,5.958578597883594,-10.988578597883595,10.988578597883595
2009-03,2009-03-01,2009,3,COMERCIAL DE MANABI,31.36,24.75,6.58,4.62,15.41,1.76,1.76,4.415756618218382,-2.6557566182183825,2.6557566182183825
2009-03,2009-03-01,2009,3,DELBANK,17.44,10.08,7.34,3.07,31.49,82.18,82.18,53.60551145715397,28.574488542846034,28.574488542846034
