anio,tipo_score,ranking_score,banco_estandarizado,score_salud,lectura_score,perfil_cluster,puntaje_roe_modelo,puntaje_cluster,puntaje_tendencia_general,puntaje_morosidad_proyectada,puntaje_solvencia_proyectada,roe_real,roe_estimado,error_roe,activos_totales,patrimonio,roe,morosidad,solvencia_proxy,cambio_proyectado_pct_activos_totales,cambio_proyectado_roe,cambio_proyectado_morosidad,cambio_proyectado_solvencia_proxy,analisis_ejecutivo
2023,historico_sin_proyecciones,24,FINCA,15.65,Requiere revisión,Mayor riesgo relativo,4.17,30,,,,-47.292500000000004,-41.21581352429979,-6.076686475700213,81.93,12.3675,-47.292500000000004,20.1525,8.6475,7.878629885183358,57.4220898047353,-3.49162406356686,-0.3776375888539665,"En 2023, FINCA obtiene un score de salud financiera de 15.65/100, clasificado como: Requiere revisión. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,1,SOLIDARIO,88.89,Salud financiera favorable,Pequeños con mayor solvencia proxy,100.0,75,,,,45.37916666666667,35.925061076138356,9.454105590528316,930.1008333333333,147.14083333333335,45.37916666666667,6.7925,14.3825,13.795992048192455,12.336647783001261,0.27710740682968993,-2.2615347012749023,"En 2024, SOLIDARIO obtiene un score de salud financiera de 88.89/100, clasificado como: Salud financiera favorable. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Pequeños con mayor solvencia proxy. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,2,LITORAL,84.06,Salud financiera favorable,Pequeños con mayor solvencia proxy,91.3,75,,,,20.199166666666667,17.1377966332433,3.061370033423365,41.9575,11.765833333333333,20.199166666666667,10.847499999999998,24.360833333333332,2.6753742900729414,2.8614104425642823,-0.8156683461369134,0.5297896276657212,"En 2024, LITORAL obtiene un score de salud financiera de 84.06/100, clasificado como: Salud financiera favorable. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Pequeños con mayor solvencia proxy. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,3,PACIFICO,81.26,Salud financiera favorable,Bancos grandes o consolidados,78.26,85,,,,16.464166666666667,15.730342117080454,0.7338245495862131,7790.31,896.5658333333334,16.464166666666667,3.8266666666666667,10.375,3.947337236235243,-5.022563519449964,1.3974570607078114,-0.6434649282868499,"En 2024, PACIFICO obtiene un score de salud financiera de 81.26/100, clasificado como: Salud financiera favorable. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,4,BOLIVARIANO,78.84,Salud financiera favorable,Bancos grandes o consolidados,73.91,85,,,,12.4375,12.412748289210791,0.02475171078920768,5098.2025,493.26666666666665,12.4375,7.8475,9.259166666666667,3.793320201652181,-0.1410177205037364,15.200428952598259,0.32800260811480264,"En 2024, BOLIVARIANO obtiene un score de salud financiera de 78.84/100, clasificado como: Salud financiera favorable. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,5,INTERNACIONAL,76.43,Salud financiera favorable,Bancos grandes o consolidados,69.57,85,,,,11.549999999999999,11.526355309081351,0.023644690918649108,5100.734166666666,482.7208333333333,11.549999999999999,1.2783333333333333,8.821666666666667,5.002506897430865,-2.061563102084996,34.33149856306531,0.021087596787316087,"En 2024, INTERNACIONAL obtiene un score de salud financiera de 76.43/100, clasificado como: Salud financiera favorable. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,6,PRODUBANCO,71.59,Perfil financiero sólido,Bancos grandes o consolidados,60.87,85,,,,7.863333333333333,8.170081908423368,-0.3067485750900354,7553.343333333333,597.0325,7.863333333333333,3.605,7.09,5.263650000271019,-4.633465482542352,-7.351031772488017,-0.2957993185064609,"En 2024, PRODUBANCO obtiene un score de salud financiera de 71.59/100, clasificado como: Perfil financiero sólido. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,7,GUAYAQUIL,69.18,Perfil financiero sólido,Bancos grandes o consolidados,56.52,85,,,,14.098333333333334,14.673133935578312,-0.5748006022449766,7872.381666666667,717.1825,14.098333333333334,2.6308333333333334,8.496666666666666,3.560451323675293,-0.885094450797002,-0.12176280043368903,0.18906417979202494,"En 2024, GUAYAQUIL obtiene un score de salud financiera de 69.18/100, clasificado como: Perfil financiero sólido. El ROE real se ubica por debajo del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Bancos grandes o consolidados. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,8,AMAZONAS,66.47,Perfil financiero sólido,Mayor riesgo relativo,95.65,30,,,,37.81666666666667,31.147922028064528,6.668744638602141,355.1775,33.88333333333333,37.81666666666667,4.216666666666667,7.4425,5.1032496481742635,21.08359697805536,0.6021838725593298,-0.6542624841480613,"En 2024, AMAZONAS obtiene un score de salud financiera de 66.47/100, clasificado como: Perfil financiero sólido. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
2024,historico_sin_proyecciones,9,DESARROLLO DE LOS PUEBLOS S.A,61.64,Perfil financiero sólido,Mayor riesgo relativo,86.96,30,,,,9.505,8.026118234882402,1.4788817651175992,261.49833333333333,34.75666666666667,9.505,8.808333333333334,11.565833333333332,18.304553863595135,20.49462531424228,-0.32538591534840045,0.7579517201865773,"En 2024, DESARROLLO DE LOS PUEBLOS S.A obtiene un score de salud financiera de 61.64/100, clasificado como: Perfil financiero sólido. El ROE real se ubica por encima del ROE estimado por el modelo. Según KMeans, pertenece al perfil: Mayor riesgo relativo. Este score histórico no incorpora Prophet para evitar usar proyecciones futuras en años pasados."
