anio,banco_estandarizado,meses_con_dato,activos_totales,patrimonio,roe,morosidad,solvencia_proxy,cluster,pca_1,pca_2,perfil_cluster
2009,AMAZONAS,12,120.4925,11.405833333333334,8.99,3.8541666666666665,7.836666666666666,2,-0.4752938083216626,-0.48074195521120244,Mayor riesgo relativo
2009,AUSTRO,12,647.9608333333333,57.1025,20.646666666666665,7.669999999999999,7.409166666666667,2,-0.22353530134586347,-0.7935979090142071,Mayor riesgo relativo
2009,BOLIVARIANO,12,1271.9758333333332,109.27333333333333,13.958333333333334,1.5591666666666668,7.4875,2,0.07131780401024197,-0.7186808778141472,Mayor riesgo relativo
2009,CAPITAL,12,62.26416666666666,11.842500000000001,10.010833333333332,10.998333333333333,16.355,2,-0.9161578117119791,0.1231988770375625,Mayor riesgo relativo
2009,CITIBANK,12,302.59666666666664,29.135833333333334,13.299999999999999,16.33583333333333,8.315,2,-0.5386880609019024,-0.0057094946252670194,Mayor riesgo relativo
2009,COFIEC,12,12.694166666666666,8.4225,16.88416666666667,13.3575,49.34,1,-2.285804732560948,1.0286947644547186,Pequeños con mayor solvencia proxy
2009,COMERCIAL DE MANABI,12,31.00583333333333,6.552499999999999,9.37,6.274166666666667,15.3975,2,-0.843768785467966,-0.12682596504439844,Mayor riesgo relativo
2009,DELBANK,12,16.391666666666666,7.345833333333334,20.74666666666667,4.370833333333334,34.221666666666664,1,-1.5421753404111291,-0.12887540144377915,Pequeños con mayor solvencia proxy
2009,FINCA,12,37.07333333333333,10.245,4.708333333333333,12.186666666666667,24.007499999999997,1,-1.2795723098730563,0.692629383080827,Pequeños con mayor solvencia proxy
2009,GENERAL RUMIÑAHUI,12,340.7608333333333,21.7225,18.901666666666667,4.043333333333334,5.357500000000001,2,-0.2548115161532403,-1.0064719357211724,Mayor riesgo relativo
2009,GUAYAQUIL,12,2249.9666666666667,168.25,20.305,2.575833333333333,6.286666666666666,2,0.4933325365274992,-0.9147109360463453,Mayor riesgo relativo
2009,INTERNACIONAL,12,1253.3233333333333,117.12833333333333,11.4625,2.6483333333333334,8.06,2,0.036736756363095084,-0.5209805659462379,Mayor riesgo relativo
2009,LITORAL,12,21.210833333333333,3.545833333333333,7.093333333333334,5.224166666666666,12.7275,2,-0.7417475752041384,-0.16540712499179397,Mayor riesgo relativo
2009,LLOYDS BANK,12,188.28333333333333,22.879166666666666,7.741666666666667,8.309166666666666,11.074166666666665,2,-0.6251096377590984,-0.07173096724688925,Mayor riesgo relativo
2009,LOJA,12,206.20749999999998,19.144166666666667,18.234166666666667,3.4966666666666666,7.605,2,-0.38013314829229755,-0.9363577791070317,Mayor riesgo relativo
2009,MACHALA,12,346.24333333333334,32.167500000000004,6.825,3.499166666666667,7.680833333333333,2,-0.3771960406501837,-0.375355816828906,Mayor riesgo relativo
2009,MM JARAMILLO ARTEAGA,3,460.6333333333334,33.19,8.036666666666667,2.32,6.640000000000001,2,-0.28677976590874815,-0.5214204154854191,Mayor riesgo relativo
2009,PACIFICO,12,1743.4358333333332,268.54166666666663,13.6,3.7575000000000003,13.509166666666667,2,0.26514718728587217,-0.2591728757683407,Mayor riesgo relativo
2009,PICHINCHA,12,4454.495833333333,455.40166666666664,12.363333333333335,3.3616666666666664,8.815,0,1.491146293666412,-0.10507795765346514,Bancos grandes o consolidados
2009,PROCREDIT,12,303.62916666666666,36.544999999999995,11.736666666666666,3.0741666666666667,10.713333333333333,2,-0.4728218404072895,-0.5278111273455224,Mayor riesgo relativo
2009,PRODUBANCO,12,1564.6925,151.66,10.12,8.668333333333333,8.709166666666667,2,0.08183820303805427,-0.08603199664385726,Mayor riesgo relativo
