archivo_origen,archivo_nombre,extension,periodo,fecha_corte,celda_fecha,valor_fecha_original,hoja_balance,metodo_balance,hojas_indicadores,estado,detalle
00_datos_crudos\BOL_FIN_BCOS_MAR_10 A.xls,BOL_FIN_BCOS_MAR_10 A.xls,.xls,2010-03,2010-03-31,B4,2010-03-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_MAY_09.xls,BOL_FIN_BCOS_MAY_09.xls,.xls,2009-05,2009-05-31,B4,2009-05-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_MAR_12.xls,BOL_FIN_BCOS_MAR_12.xls,.xls,2012-03,2012-03-31,B4,2012-03-31 00:00:00,BAL,contenido_estado_situacion,INDIC,ok,Registros extraídos: 156
00_datos_crudos\BOL_FIN_BCOS_MAY_12.xls,BOL_FIN_BCOS_MAY_12.xls,.xls,2012-05,2012-05-31,B4,2012-05-31 00:00:00,BAL,contenido_estado_situacion,INDIC,ok,Registros extraídos: 156
00_datos_crudos\BOL_FIN_BCOS_MAY_10.xls,BOL_FIN_BCOS_MAY_10.xls,.xls,2010-05,2010-05-31,B4,2010-05-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_JUL_16.xlsm,BOL_FIN_BCOS_JUL_16.xlsm,.xlsm,2016-07,2016-07-31,B4,2016-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL_FIN_BCOS_NOV_10.xls,BOL_FIN_BCOS_NOV_10.xls,.xls,2010-11,2010-11-30,B4,2010-11-30 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_NOV_09 AA.xls,BOL_FIN_BCOS_NOV_09 AA.xls,.xls,2009-11,2009-11-30,B4,2009-11-30 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_OCT_10.xls,BOL_FIN_BCOS_OCT_10.xls,.xls,2010-10,2010-10-31,B4,2010-10-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_SEP_09 A.xls,BOL_FIN_BCOS_SEP_09 A.xls,.xls,2009-09,2009-09-30,B4,2009-09-30 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_SEPT_10.xls,BOL_FIN_BCOS_SEPT_10.xls,.xls,2010-09,2010-09-30,B4,2010-09-30 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_SEPT_11.xls,BOL_FIN_BCOS_SEPT_11.xls,.xls,2011-09,2011-09-30,B4,2011-09-30 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 156
00_datos_crudos\BOL_FIN_BCOS_JUN_17.xlsx,BOL_FIN_BCOS_JUN_17.xlsx,.xlsx,2017-06,2017-06-30,B4,2017-06-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\BOL_FIN_OCT_09.xls,BOL_FIN_OCT_09.xls,.xls,2009-10,2009-10-31,B4,2009-10-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
00_datos_crudos\BOL_FIN_BCOS_SEPT_12.xlsx,BOL_FIN_BCOS_SEPT_12.xlsx,.xlsx,2012-09,2012-09-30,B4,2012-09-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
