archivo_origen,archivo_nombre,extension,periodo,fecha_corte,celda_fecha,valor_fecha_original,hoja_balance,metodo_balance,hojas_indicadores,estado,detalle
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_11.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_11.xlsx,.xlsx,2024-11,2024-11-30,B4,30/11/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_12.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2024_12.xlsx,.xlsx,2024-12,2024-12-31,B4,31/12/2024,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_03.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_03.xlsx,.xlsx,2025-03,2025-03-31,B4,31/03/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_01.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_01.xlsx,.xlsx,2025-01,2025-01-31,B4,31/01/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_02.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_02.xlsx,.xlsx,2025-02,2025-02-28,B4,28/02/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_04.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_04.xlsx,.xlsx,2025-04,2025-04-30,B4,30/04/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_05.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_05.xlsx,.xlsx,2025-05,2025-05-31,B4,31/05/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_06.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_06.xlsx,.xlsx,2025-06,2025-06-30,B4,30/06/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_09.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_09.xlsx,.xlsx,2025-09,2025-09-30,B4,30/09/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_07.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_07.xlsx,.xlsx,2025-07,2025-07-31,B4,31/07/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_08.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_08.xlsx,.xlsx,2025-08,2025-08-31,B4,31/08/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_10.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_10.xlsx,.xlsx,2025-10,2025-10-31,B4,31/10/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_12.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_12.xlsx,.xlsx,2025-12,2025-12-31,B4,31/12/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2025_11.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2025_11.xlsx,.xlsx,2025-11,2025-11-30,B4,30/11/2025,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_01.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2026_01.xlsx,.xlsx,2026-01,2026-01-31,B4,31/01/2026,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_02.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2026_02.xlsx,.xlsx,2026-02,2026-02-28,B4,28/02/2026,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,.xlsx,2026-03,2026-03-31,B4,31/03/2026,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\Mensual_BancaPrivada_dic21.xlsx,Mensual_BancaPrivada_dic21.xlsx,.xlsx,2021-12,2021-12-31,B4,31/12/2021,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201210 web 2.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201210 web 2.xlsx,.xlsx,2012-10,2012-10-31,B4,2012-10-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201212 web 5.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201212 web 5.xlsx,.xlsx,2012-12,2012-12-31,B4,2012-12-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\MENSUAL_BANCA_PRIVADA 2021_11.xlsx,MENSUAL_BANCA_PRIVADA 2021_11.xlsx,.xlsx,2021-11,2021-11-30,B4,30/11/2021,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 120
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201301 web 2.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201301 web 2.xlsx,.xlsx,2013-01,2013-01-31,B4,2013-01-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\Mensual_BancaPrivada_mar22.xlsx,Mensual_BancaPrivada_mar22.xlsx,.xlsx,2022-03,2022-03-31,B4,31/03/2022,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 144
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201302 FINAL COMPLETO WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201302 FINAL COMPLETO WEB.xlsx,.xlsx,2013-02,2013-02-28,B4,2013-02-28 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201303 web 2.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201303 web 2.xlsx,.xlsx,2013-03,2013-03-31,B4,2013-03-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201304 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201304 M1 WEB.xlsx,.xlsx,2013-04,2013-04-30,B4,2013-04-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201305 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201305 M1 WEB.xlsx,.xlsx,2013-05,2013-05-31,B4,2013-05-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201306 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201306 M1 WEB.xlsx,.xlsx,2013-06,2013-06-30,B4,2013-06-30 00:00:00,BALANCE,nombre_balance,"INDICADORES, VALID INDICADORES, INDIC MAF",ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201307 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201307 M1 WEB.xlsx,.xlsx,2013-07,2013-07-31,B4,2013-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201308 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201308 M1 WEB.xlsx,.xlsx,2013-08,2013-08-31,B4,2013-08-31 00:00:00,BALANCE,nombre_balance,"INDICADORES, VALID INDICADORES, INDIC MAF",ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201310 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201310 M1 WEB.xlsx,.xlsx,2013-10,2013-10-31,B4,2013-10-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201309 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201309 M1 WEB.xlsx,.xlsx,2013-09,2013-09-30,B4,2013-09-30 00:00:00,BALANCE,nombre_balance,"INDICADORES, VALID INDICADORES, INDIC MAF",ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201311 web 3.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201311 web 3.xlsm,.xlsm,2013-11,2013-11-30,B4,2013-11-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201312 M1 WEB.xlsx,NUEVA PLANTILLA BCOS PRIVADOS 201312 M1 WEB.xlsx,.xlsx,2013-12,2013-12-31,B4,2013-12-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201402 web 3.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201402 web 3.xlsm,.xlsm,2014-02,2014-02-28,B4,2014-02-28 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201401 2 web 3.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201401 2 web 3.xlsm,.xlsm,2014-01,2014-01-31,B4,2014-01-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 156
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201403 web 2.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201403 web 2.xlsm,.xlsm,2014-03,2014-03-31,B4,2014-03-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201404 web.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201404 web.xlsm,.xlsm,2014-04,2014-04-30,B4,2014-04-30 00:00:00,BALANCE,nombre_balance,"INDICADORES, VALID INDICADORES, INDIC MAF",ok,Registros extraídos: 162
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201405 web.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201405 web.xlsm,.xlsm,2014-05,2014-05-31,B4,2014-05-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201406 WEB.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201406 WEB.xlsm,.xlsm,2014-06,2014-06-30,B4,2014-06-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\NUEVA PLANTILLA BCOS PRIVADOS 201407 web.xlsm,NUEVA PLANTILLA BCOS PRIVADOS 201407 web.xlsm,.xlsm,2014-07,2014-07-31,B4,2014-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\NUEVA PLANTILLA BOL_BP_ENE 2016 web.xlsm,NUEVA PLANTILLA BOL_BP_ENE 2016 web.xlsm,.xlsm,2016-01,2016-01-31,B4,2016-01-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\NUEVA PLANTILLA BOL_BP_MAR 2016 web.xlsm,NUEVA PLANTILLA BOL_BP_MAR 2016 web.xlsm,.xlsm,2016-03,2016-03-31,B4,2016-03-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\NUEVA PLANTILLA BOL_BP_FEB 2016 web.xlsm,NUEVA PLANTILLA BOL_BP_FEB 2016 web.xlsm,.xlsm,2016-02,2016-02-29,B4,2016-02-29 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
