periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,ranking,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2026-03,DELBANK,roe,13.55,porcentaje,mayor_es_mejor,2026-03-01,10,14.695652173913043,11.34,23,-1.1456521739130423,-7.7958579881656735
2026-03,PICHINCHA,roe,11.47,porcentaje,mayor_es_mejor,2026-03-01,11,14.695652173913043,11.34,23,-3.2256521739130424,-21.94970414201183
2026-03,INTERNACIONAL,roe,11.34,porcentaje,mayor_es_mejor,2026-03-01,12,14.695652173913043,11.34,23,-3.355652173913043,-22.834319526627215
2026-03,BOLIVARIANO,roe,11.0,porcentaje,mayor_es_mejor,2026-03-01,13,14.695652173913043,11.34,23,-3.695652173913043,-25.147928994082836
2026-03,AUSTRO,roe,10.07,porcentaje,mayor_es_mejor,2026-03-01,14,14.695652173913043,11.34,23,-4.625652173913043,-31.47633136094674
2026-03,SOLIDARIO,roe,9.71,porcentaje,mayor_es_mejor,2026-03-01,15,14.695652173913043,11.34,23,-4.985652173913042,-33.92603550295858
2026-03,DINERS,roe,8.58,porcentaje,mayor_es_mejor,2026-03-01,16,14.695652173913043,11.34,23,-6.115652173913043,-41.61538461538461
2026-03,MACHALA,roe,8.21,porcentaje,mayor_es_mejor,2026-03-01,17,14.695652173913043,11.34,23,-6.485652173913042,-44.13313609467455
2026-03,DESARROLLO DE LOS PUEBLOS S.A,roe,4.37,porcentaje,mayor_es_mejor,2026-03-01,18,14.695652173913043,11.34,23,-10.325652173913042,-70.26331360946745
2026-03,PROCREDIT,roe,3.86,porcentaje,mayor_es_mejor,2026-03-01,19,14.695652173913043,11.34,23,-10.835652173913044,-73.73372781065089
2026-03,COOPNACIONAL,roe,3.06,porcentaje,mayor_es_mejor,2026-03-01,20,14.695652173913043,11.34,23,-11.635652173913043,-79.1775147928994
2026-03,LITORAL,roe,2.55,porcentaje,mayor_es_mejor,2026-03-01,21,14.695652173913043,11.34,23,-12.145652173913042,-82.64792899408283
2026-03,ATLANTIDA,roe,1.5,porcentaje,mayor_es_mejor,2026-03-01,22,14.695652173913043,11.34,23,-13.195652173913043,-89.79289940828401
2026-03,CAPITAL,roe,-4.09,porcentaje,mayor_es_mejor,2026-03-01,23,14.695652173913043,11.34,23,-18.785652173913043,-127.83136094674556
