banco_estandarizado,indicador,valor_promedio,valor_mediana,periodos_con_dato,periodos_totales,ranking_promedio_historico
DESARROLLO DE LOS PUEBLOS S.A,pasivos_totales,177.82475524475524,159.02,143,143,19
COOPNACIONAL,pasivos_totales,157.65427745664738,155.19,173,173,20
TERRITORIAL,pasivos_totales,116.42,115.845,50,72,21
ATLANTIDA,pasivos_totales,109.59200000000001,107.19,10,10,22
LLOYDS BANK,pasivos_totales,107.07548387096774,147.36,31,31,23
VISIONFUND ECUADOR,pasivos_totales,79.27178571428571,69.705,112,112,24
D-MIRO,pasivos_totales,75.72792682926828,84.85499999999999,164,164,25
CAPITAL,pasivos_totales,63.29082926829269,53.05,205,205,26
FINCA,pasivos_totales,47.44088235294117,41.230000000000004,170,170,27
COMERCIAL DE MANABI,pasivos_totales,45.55429268292683,40.55,205,205,28
LITORAL,pasivos_totales,24.662097560975607,25.95,205,205,29
COFIEC,pasivos_totales,18.429113924050633,19.14,79,79,30
DELBANK,pasivos_totales,17.446341463414633,18.27,205,205,31
SUDAMERICANO,pasivos_totales,4.102985074626865,4.15,67,72,32
PICHINCHA,patrimonio,1062.228195121951,995.66,205,205,1
PACIFICO,patrimonio,605.298243902439,570.33,205,205,2
DINERS,patrimonio,454.9311538461538,446.44500000000005,104,104,3
GUAYAQUIL,patrimonio,442.4780487804878,411.84,205,205,4
PRODUBANCO,patrimonio,361.1392682926829,332.47,205,205,5
INTERNACIONAL,patrimonio,293.8752682926829,269.44,205,205,6
BOLIVARIANO,patrimonio,284.50775609756096,249.57,205,205,7
AUSTRO,patrimonio,160.94746341463417,163.23,205,205,8
SOLIDARIO,patrimonio,110.55346341463414,116.52,205,205,9
CITIBANK,patrimonio,63.99190243902439,63.34,205,205,10
GENERAL RUMIÑAHUI,patrimonio,62.43668292682927,56.38,205,205,11
UNIBANCO,patrimonio,57.73450980392157,58.23,51,72,12
MACHALA,patrimonio,56.49356097560976,53.63,205,205,13
PROCREDIT,patrimonio,52.865756097560975,55.97,205,205,14
LOJA,patrimonio,48.043853658536584,46.69,205,205,15
PROMERICA,patrimonio,46.640447761194025,49.22,67,68,16
MM JARAMILLO ARTEAGA,patrimonio,33.19,33.19,3,3,17
COOPNACIONAL,patrimonio,27.302601156069365,27.46,173,173,18
DESARROLLO DE LOS PUEBLOS S.A,patrimonio,22.758811188811187,22.36,143,143,19
AMAZONAS,patrimonio,21.848243902439027,20.02,205,205,20
LLOYDS BANK,patrimonio,21.333225806451615,22.71,31,31,21
VISIONFUND ECUADOR,patrimonio,17.630089285714284,17.57,112,112,22
D-MIRO,patrimonio,15.377134146341463,14.71,164,164,23
ATLANTIDA,patrimonio,12.445,12.605,10,10,24
CAPITAL,patrimonio,12.032682926829267,11.72,205,205,25
FINCA,patrimonio,11.838588235294118,11.95,170,170,26
TERRITORIAL,patrimonio,11.618799999999998,12.61,50,72,27
COMERCIAL DE MANABI,patrimonio,10.358487804878047,9.2,205,205,28
DELBANK,patrimonio,10.02190243902439,11.04,205,205,29
LITORAL,patrimonio,7.960390243902438,9.4,205,205,30
COFIEC,patrimonio,7.602278481012657,8.42,79,79,31
SUDAMERICANO,patrimonio,6.108507462686567,5.64,67,72,32
COMERCIAL DE MANABI,roe,27.73687804878049,9.97,205,205,1
TERRITORIAL,roe,25.22915254237288,10.48,59,72,2
AMAZONAS,roe,22.171268292682925,13.8,205,205,3
DELBANK,roe,18.46960975609756,3.55,205,205,4
GENERAL RUMIÑAHUI,roe,16.47390243902439,15.01,205,205,5
SOLIDARIO,roe,14.686487804878048,7.42,205,205,6
CITIBANK,roe,14.661658536585366,14.27,205,205,7
GUAYAQUIL,roe,14.545219512195121,14.73,205,205,8
SUDAMERICANO,roe,14.027014925373136,8.04,67,72,9
PACIFICO,roe,13.360585365853659,12.85,205,205,10
INTERNACIONAL,roe,13.133560975609756,12.85,205,205,11
LOJA,roe,12.884926829268291,12.41,205,205,12
PROCREDIT,roe,12.688390243902438,11.16,205,205,13
BOLIVARIANO,roe,12.612341463414635,12.67,205,205,14
VISIONFUND ECUADOR,roe,11.495267857142858,10.205,112,112,15
PRODUBANCO,roe,11.137073170731707,11.14,205,205,16
DINERS,roe,10.504711538461539,11.32,104,104,17
PICHINCHA,roe,10.410926829268291,10.3,205,205,18
PROMERICA,roe,10.222835820895522,9.36,67,68,19
AUSTRO,roe,9.337073170731706,6.83,205,205,20
DESARROLLO DE LOS PUEBLOS S.A,roe,9.11048951048951,6.03,143,143,21
ATLANTIDA,roe,8.338,1.295,10,10,22
UNIBANCO,roe,8.099830508474575,8.13,59,72,23
MM JARAMILLO ARTEAGA,roe,8.036666666666667,8.12,3,3,24
LITORAL,roe,7.567317073170732,3.37,205,205,25
MACHALA,roe,7.353853658536585,6.63,205,205,26
COOPNACIONAL,roe,7.095491329479769,6.32,173,173,27
COFIEC,roe,6.515063291139241,2.51,79,79,28
LLOYDS BANK,roe,0.970967741935484,6.75,31,31,29
D-MIRO,roe,-0.959268292682927,3.71,164,164,30
CAPITAL,roe,-4.425317073170731,1.31,205,205,31
FINCA,roe,-6.9898235294117645,1.81,170,170,32
SUDAMERICANO,solvencia_proxy,41.93238805970149,41.13,67,72,1
DELBANK,solvencia_proxy,30.509014778325124,30.33,203,203,2
LLOYDS BANK,solvencia_proxy,30.089354838709678,12.25,31,31,3
COFIEC,solvencia_proxy,23.553076923076922,17.195,78,79,4
LITORAL,solvencia_proxy,19.374285714285715,20.33,203,203,5
VISIONFUND ECUADOR,solvencia_proxy,18.946181818181817,18.855,110,110,6
DINERS,solvencia_proxy,18.337549019607845,18.59,102,102,7
FINCA,solvencia_proxy,18.084166666666665,16.7,168,168,8
UNIBANCO,solvencia_proxy,16.07,16.0,51,72,9
D-MIRO,solvencia_proxy,14.979938271604938,15.34,162,162,10
CAPITAL,solvencia_proxy,14.83975369458128,12.23,203,203,11
SOLIDARIO,solvencia_proxy,14.458029556650246,14.85,203,203,12
COMERCIAL DE MANABI,solvencia_proxy,14.404137931034482,14.08,203,203,13
COOPNACIONAL,solvencia_proxy,13.969707602339183,14.26,171,171,14
PROCREDIT,solvencia_proxy,10.619556650246306,10.77,203,203,15
PACIFICO,solvencia_proxy,10.232266009852218,10.18,203,203,16
DESARROLLO DE LOS PUEBLOS S.A,solvencia_proxy,9.622127659574469,9.34,141,141,17
CITIBANK,solvencia_proxy,9.377093596059114,9.24,203,203,18
AMAZONAS,solvencia_proxy,8.956108374384236,8.9,203,203,19
PICHINCHA,solvencia_proxy,8.670098522167487,8.68,203,203,20
PROMERICA,solvencia_proxy,8.614328358208954,6.68,67,68,21
LOJA,solvencia_proxy,8.455369458128079,8.32,203,203,22
GUAYAQUIL,solvencia_proxy,8.274187192118227,8.48,203,203,23
INTERNACIONAL,solvencia_proxy,8.23743842364532,8.33,203,203,24
AUSTRO,solvencia_proxy,7.908177339901477,7.92,203,203,25
BOLIVARIANO,solvencia_proxy,7.898325123152709,7.83,203,203,26
PRODUBANCO,solvencia_proxy,7.45064039408867,7.33,203,203,27
GENERAL RUMIÑAHUI,solvencia_proxy,7.194088669950739,7.42,203,203,28
ATLANTIDA,solvencia_proxy,6.872,6.85,10,10,29
MACHALA,solvencia_proxy,6.799704433497537,6.72,203,203,30
MM JARAMILLO ARTEAGA,solvencia_proxy,6.640000000000001,6.62,3,3,31
TERRITORIAL,solvencia_proxy,6.531000000000001,7.130000000000001,50,72,32
