periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,COMERCIAL DE MANABI,morosidad,3.86,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.7036000000000002,-30.620461571644263
2009-01,COMERCIAL DE MANABI,pasivos_totales,27.52,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-547.1776,-95.21139465346646
2009-01,COMERCIAL DE MANABI,patrimonio,6.28,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-61.5608,-90.74303369064044
2009-01,COMERCIAL DE MANABI,roe,43.95,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,29.480400000000003,203.74025543207833
2009-01,COMERCIAL DE MANABI,solvencia_proxy,13.22,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-1.2279999999999998,-8.499446290143963
2009-01,DELBANK,activos_totales,18.09,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-625.1447999999999,-97.18765216061071
2009-01,DELBANK,morosidad,3.63,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.9336000000000002,-34.754475519447844
2009-01,DELBANK,pasivos_totales,10.74,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-563.9576,-98.13119108205777
2009-01,DELBANK,patrimonio,7.34,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-60.5008,-89.1805521161307
2009-01,DELBANK,roe,32.09,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,17.620400000000004,121.77530823243217
2009-01,DELBANK,solvencia_proxy,28.54,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,14.091999999999999,97.5359911406423
2009-01,FINCA,activos_totales,37.77,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-605.4648,-94.12811620266814
2009-01,FINCA,morosidad,10.56,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,4.9964,89.80516212524266
2009-01,FINCA,pasivos_totales,27.51,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-547.1876,-95.21313469901388
2009-01,FINCA,patrimonio,10.21,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-57.6308,-84.95005955118454
2009-01,FINCA,roe,5.97,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-8.499600000000001,-58.7410847570078
2009-01,FINCA,solvencia_proxy,24.22,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,9.771999999999998,67.63565891472867
2009-01,GENERAL RUMIÑAHUI,activos_totales,324.85,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-318.3847999999999,-49.49744634463185
2009-01,GENERAL RUMIÑAHUI,morosidad,3.6,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.9636,-35.293694730030914
2009-01,GENERAL RUMIÑAHUI,pasivos_totales,303.03,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-271.6676,-47.27139977616054
2009-01,GENERAL RUMIÑAHUI,patrimonio,21.5,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-46.3408,-68.30815674343464
2009-01,GENERAL RUMIÑAHUI,roe,18.03,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,3.5604000000000013,24.606070658484004
2009-01,GENERAL RUMIÑAHUI,solvencia_proxy,5.83,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-8.618,-59.6483942414175
2009-01,GUAYAQUIL,activos_totales,2180.19,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,1536.9552,238.94154980420842
2009-01,GUAYAQUIL,morosidad,2.38,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-3.1836,-57.221942627076
2009-01,GUAYAQUIL,pasivos_totales,2002.92,millones_usd,informativo,2009-01-01,574.6976,252.1,25,1428.2224,248.51720278630017
2009-01,GUAYAQUIL,patrimonio,174.44,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,106.5992,157.1314017523378
2009-01,GUAYAQUIL,roe,19.41,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,4.9404,34.14330734781888
2009-01,GUAYAQUIL,solvencia_proxy,6.89,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-7.558000000000001,-52.31173864894796
2009-01,INTERNACIONAL,activos_totales,1194.43,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,551.1952000000001,85.69113487019051
2009-01,INTERNACIONAL,morosidad,2.76,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-2.8036000000000003,-50.391832626357036
2009-01,INTERNACIONAL,pasivos_totales,1077.17,millones_usd,informativo,2009-01-01,574.6976,252.1,25,502.4724000000001,87.43248623275966
2009-01,INTERNACIONAL,patrimonio,116.13,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,48.289199999999994,71.18017476209005
2009-01,INTERNACIONAL,roe,11.68,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-2.7896,-19.279040194614918
2009-01,INTERNACIONAL,solvencia_proxy,8.44,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.008000000000001,-41.58361018826135
2009-01,LITORAL,activos_totales,18.81,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-624.4248,-97.07571791824698
2009-01,LITORAL,morosidad,4.5,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.0636,-19.117118412538645
2009-01,LITORAL,pasivos_totales,15.22,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-559.4775999999999,-97.3516506768081
2009-01,LITORAL,patrimonio,3.54,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-64.3008,-94.78190115682598
2009-01,LITORAL,roe,16.53,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,2.0604000000000013,14.23950903964174
2009-01,LITORAL,solvencia_proxy,14.56,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,0.1120000000000001,0.7751937984496131
2009-01,LLOYDS BANK,activos_totales,208.26,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-434.97479999999996,-67.62302039628453
2009-01,LLOYDS BANK,morosidad,0.69,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-4.8736,-87.59795815658926
2009-01,LLOYDS BANK,pasivos_totales,183.71,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-390.98759999999993,-68.03362324812213
2009-01,LLOYDS BANK,patrimonio,24.31,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-43.5308,-64.1661065317626
